family support;competition;appearance;God's love;accademic competence;virtue;other's approval
28;16;18;12;27;33;20
28;21;18;27;26;23;24
29;22;21;10;26;29;22
24;26;30;5;29;31;17
32;30;16;10;27;27;26
28;31;28;5;30;26;24
28;10;21;14;23;22;14
32;27;20;22;33;35;32
25;23;22;9;31;16;33
31;28;25;18;32;31;30
25;20;21;25;23;23;20
22;10;21;33;34;24;11
30;18;18;23;13;25;19
29;25;22;5;28;23;27
24;24;16;5;28;30;30
30;30;13;16;31;30;11
25;21;25;11;26;20;14
35;23;25;5;31;32;30
22;13;23;10;25;27;18
24;20;18;15;26;26;19
31;21;27;6;27;22;19
33;23;27;5;29;31;16
26;30;25;35;32;26;9
27;19;15;24;26;25;14
27;8;24;33;26;15;29
32;25;22;35;34;25;15
32;33;23;29;28;27;13
21;21;23;5;17;23;10
33;25;23;8;31;30;24
25;16;23;22;29;20;21
34;32;29;26;33;27;28
16;13;15;5;30;31;12
28;26;28;5;30;35;24
19;27;21;5;25;20;14
30;27;23;15;30;31;28
31;20;17;26;19;30;15
35;21;16;35;28;35;18
24;27;23;34;29;30;22
13;21;13;5;14;21;6
26;23;23;29;28;30;25
25;24;23;27;20;28;15
24;27;27;29;28;30;31
26;20;18;5;24;22;20
32;26;28;26;30;31;18
25;28;24;26;25;22;21
23;14;17;15;28;25;21
27;30;27;5;30;25;29
29;30;22;5;22;24;16
34;29;31;5;31;29;31
24;20;23;26;25;23;19
29;28;28;5;25;30;12
32;30;29;5;32;29;25
27;22;25;20;22;16;24
24;17;14;29;23;27;23
11;26;22;5;18;27;12
27;25;24;28;27;22;13
17;23;24;5;27;15;14
23;22;18;24;28;21;14
17;29;13;21;34;30;8
29;25;26;10;29;24;28
28;15;21;27;26;21;21
26;33;27;5;34;25;27
29;35;20;35;27;29;13
18;20;16;16;23;20;18
11;21;14;5;29;32;7
25;22;24;5;31;21;21
22;28;21;29;26;25;5
20;22;25;5;23;18;16
31;19;24;5;28;26;16
17;11;16;19;25;30;12
17;14;19;20;20;26;14
25;24;18;21;26;27;8
33;24;25;29;30;27;19
20;21;20;20;23;20;24
26;31;20;5;32;24;24
29;29;29;35;35;29;24
23;5;5;14;5;35;11
26;29;18;29;26;22;18
22;25;21;22;21;22;27
23;16;13;35;27;29;11
28;25;16;23;24;27;12
29;28;24;28;32;30;20
26;21;27;7;22;21;24
34;23;28;30;30;27;18
16;29;13;22;30;33;14
18;18;17;5;20;24;15
25;22;15;10;25;15;10
19;22;16;10;28;26;21
27;19;18;5;26;22;24
25;30;23;5;35;33;5
22;24;15;8;21;27;27
26;29;25;17;30;30;29
34;23;23;5;34;22;23
31;23;29;17;28;22;18
26;21;26;25;25;19;19
27;25;18;10;30;25;23
24;24;25;5;25;20;27
27;23;27;5;30;14;26
21;9;30;5;15;23;16
19;27;27;5;24;28;29
15;6;14;5;5;12;18
26;24;27;5;28;27;19
17;16;20;9;13;19;18
32;28;28;5;26;30;31
33;20;13;8;29;29;18
24;25;27;12;32;24;24
32;21;32;5;32;14;33
35;24;24;5;26;25;29
24;25;22;15;28;27;23
22;18;16;17;25;27;24
23;22;25;5;27;33;29
28;25;26;14;28;21;23
22;22;15;5;20;21;23
25;22;22;12;22;21;24
33;22;25;20;31;22;21
28;29;25;12;34;25;27
14;35;21;5;25;29;11
28;25;29;6;27;25;33
30;28;29;6;33;30;32
23;22;22;10;29;21;25
25;29;32;23;26;28;21
13;21;21;15;27;28;30
25;30;19;10;28;19;19
24;27;17;20;23;22;21
34;32;29;23;33;27;15
19;21;23;5;21;17;26
18;27;24;15;21;26;17
28;31;16;5;22;23;21
32;22;29;5;33;11;30
26;23;21;7;28;23;31
18;29;21;5;10;20;22
31;29;30;12;27;24;29
33;15;24;9;29;26;28
24;20;14;5;21;29;11
22;21;21;14;23;19;24
22;29;23;14;31;29;16
26;25;20;17;26;22;20
24;29;26;5;21;24;22
30;22;27;5;22;32;25
22;19;21;5;24;16;12
7;7;14;28;22;32;12
24;28;28;19;31;25;21
27;25;25;5;31;22;21
26;27;29;26;32;20;30
30;22;19;12;27;24;21
24;23;29;11;32;31;34
34;28;27;18;34;23;22
22;24;21;5;32;25;9
35;25;30;10;33;22;28
27;30;23;12;27;23;25
29;17;21;21;29;27;21
30;26;27;10;28;23;25
13;16;17;28;11;15;12
30;23;19;10;26;24;24
26;25;30;6;28;18;25
33;33;22;5;32;29;14
28;11;28;5;17;22;7
32;19;16;5;15;23;12
32;33;32;14;25;26;35
29;29;22;16;26;17;12
30;28;31;6;21;21;12
27;28;26;11;29;18;22
25;35;23;5;35;27;28
31;30;31;6;34;31;21
21;22;23;15;21;26;14
34;28;31;10;31;32;30
26;28;17;28;32;30;17
15;30;18;5;19;17;16
23;22;26;20;16;19;10
24;17;22;5;19;20;20
